Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2021-01-14,Sherlock: Case of Evil,2002,https://boxd.it/1Au1lh,5,,"4/4. contemporary reimagination of texting, cocaine-patch using Sherlock Holmes, and gay Moriarty 4/4.",,2021-01-14
2021-01-14,Sherlock Holmes,2010,https://boxd.it/1Au1lr,3.5,,the squabbling pair with Irine Adler and interfering Moriarty take down pretend-magician of secret society,,2021-01-14
2021-01-14,Sherlock Holmes: A Game of Shadows,2011,https://boxd.it/1Au1lB,3,,more action than deduction,,2021-01-14
2021-01-14,RangiTaranga,2015,https://boxd.it/1Au1lL,5,,"a mysterious writer with pregnant wife and memory loss prior to 7 years, sought by a desparate journalist comes to her haunted house to perform a bhUta-pUjA - only to be attacked by mistake, have his wife kidnapped, locked up by an irate but slightly corrupt cop, befriended by a postmaster-teacher pair, witness to illegal sand extraction. Wife's kidnapping seems connected to guDDada-bhUta which causes people to die or go missing during a certain period every year. Once the journalist catches up with him, truth begins to unravel. His wife, the journalist, the postmaster, the village doctor - none of them are what they seem. In the climax, the wife is rescued, and all is well - thanks to a sacrifice we learn of in the end. Brilliant - surprise after surprise. One falsified hypothesis leads to another.",,2021-01-14
2021-01-14,Mr. Holmes,2015,https://boxd.it/1Au1lV,3.5,,"Senile dying Sherlock somehow gains redemption by understanding and making up for his mistake in the last case - stating the facts without caring for emotions or making a comforting story. Tries to remember hard - gets strange herbs, still retains some of his awesome detective abilities. A jarring insult to Japanese sensibilities - to imply that a diplomat chose to serve the British Empire and not return home. Otherwise quite sweet.",,2021-01-14
2021-01-14,Murder on the Orient Express,1974,https://boxd.it/1Au1m5,,,based on Agatha Christie's work good series.,,2021-01-14
2021-01-14,Kindergarten Cop,1990,https://boxd.it/1Au1mf,,,finding a witness while undercover as kinter teacher,,2021-01-14
2021-01-14,Phantom 2040: The Ghost Who Walks,1994,https://boxd.it/1Au1mp,5,,"the ghost who walks equipped with magical gizmos, a green warrior in a dying world, with men as computer programs and machine integration 4/4., good fantasy adventure.",,2021-01-14
2021-01-14,The Dark Knight Rises,2012,https://boxd.it/1Au1mz,3.5,,"Joker twists DA Harvey into Scarface, kills people with impunity - for chaos in contempt for scheming, not money. Two ferrys refuse to blow each other up in a 'prisoner's dilemma' game. Batman takes the fall for Harvey to keep Gotham spirit up.",,2021-01-14
2021-01-14,Witchblade,2000,https://boxd.it/1Au1mJ,,,a female detective equipped with an armor producing bracelet,,2021-01-14
