Date,Name,Year,Letterboxd URI,Rating
2021-01-14,Lokmanya: Ek Yug Purush,2015,https://boxd.it/aapO,4
2021-01-14,Lincoln,2012,https://boxd.it/2n2s,4
2021-01-14,Jobs,2013,https://boxd.it/3RcY,5
2021-01-14,Heaven and Earth,1994,https://boxd.it/7KFC,5
2021-01-14,Death of a Tea Master,1989,https://boxd.it/1RWe,4
2021-01-14,Mankatha,2011,https://boxd.it/2EwE,5
2021-01-14,Mozart and Salieri,1962,https://boxd.it/dMXK,5
2021-01-14,Anand,1971,https://boxd.it/1uhM,5
2021-01-14,Ikiru,1952,https://boxd.it/251c,5
2021-01-14,Taxi Driver,1976,https://boxd.it/2b8y,5
2021-01-14,Up!,1976,https://boxd.it/2wvy,5
2021-01-14,Border,1997,https://boxd.it/1g3w,3.5
2021-01-14,Uri: The Surgical Strike,2019,https://boxd.it/kgWk,4
2021-01-14,Star Trek: First Contact,1996,https://boxd.it/2aTo,5
2021-01-14,Star Trek: Nemesis,2002,https://boxd.it/2aT4,4
2021-01-14,Star Trek II: The Wrath of Khan,1982,https://boxd.it/2b0u,2.5
2021-01-14,Serenity,2005,https://boxd.it/1Km4,5
2021-01-14,Planet of the Apes,1968,https://boxd.it/29p8,3.5
2021-01-14,Rise of the Planet of the Apes,2011,https://boxd.it/cS4,3
2021-01-14,Dawn of the Planet of the Apes,2014,https://boxd.it/3XyQ,3
2021-01-14,War for the Planet of the Apes,2017,https://boxd.it/8FE2,2.5
2021-01-14,Contagion,2011,https://boxd.it/13rq,2.5
2021-01-14,K-PAX,2001,https://boxd.it/2aYo,4
2021-01-14,Arrival,2016,https://boxd.it/aNGk,3
2021-01-14,Epoch,2001,https://boxd.it/1Ee4,2.5
2021-01-14,The Matrix,1999,https://boxd.it/2a1m,5
2021-01-14,Doppelgänger,1969,https://boxd.it/11OM,2.5
2021-01-14,Children of Men,2006,https://boxd.it/1Y2i,2.5
2021-01-14,The Hobbit: An Unexpected Journey,2012,https://boxd.it/GZk,1.5
2021-01-14,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,3.5
2021-01-14,Game of Thrones - Conquest & Rebellion: An Animated History of the Seven Kingdoms,2017,https://boxd.it/hKwg,5
2021-01-14,Mohalla Assi,2018,https://boxd.it/c45W,5
2021-01-14,Life of Pi,2012,https://boxd.it/37pC,5
2021-01-14,The Legend of Bagger Vance,2000,https://boxd.it/23zQ,5
2021-01-14,East Side Sushi,2014,https://boxd.it/7AUW,5
2021-01-14,Old Boys,2010,https://boxd.it/30W,5
2021-01-14,GoodFellas,1990,https://boxd.it/29FA,3.5
2021-01-14,Mirzapur on Prime,2020,https://boxd.it/stSm,4
2021-01-14,The Truman Show,1998,https://boxd.it/18U8,4
2021-01-14,The Pagan Queen,2009,https://boxd.it/Mzs,4
2021-01-14,Ghost Dog: The Way of the Samurai,1999,https://boxd.it/23Ne,4.5
2021-01-14,A Life Apart: Hasidism in America,1998,https://boxd.it/1DK4,4.5
2021-01-14,Thithi,2015,https://boxd.it/c2cc,5
