Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
6440,Ivanhoe,Walter Scott,"Scott, Walter","Graham Tulloch, Walter Brendel, Richard Zoozmann","=""0140436588""","=""9780140436587""",4,3.75,Penguin Books /Penguin Classics,Paperback,496,2000,1819,,2018/02/27,,,read,,,,1,,,0,,,,,
22034,The Godfather,Mario Puzo,"Puzo, Mario","Robert Thompson, Peter Bart","=""""","=""""",4,4.36,NAL,Paperback,448,2002,1969,,2018/02/27,,,read,,,,1,,,0,,,,,
318525,Red Storm Rising,Tom Clancy,"Clancy, Tom",,"=""0394298667""","=""9780394298665""",3,4.17,Random House Audio,Audio Cassette,,1988,1986,,2018/02/27,,,read,,,,1,,,0,,,,,
40379,"The Warlord of Mars (Barsoom, #3)",Edgar Rice Burroughs,"Burroughs, Edgar Rice",John Bolen,"=""1400130220""","=""9781400130221""",3,3.87,Tantor Media,Audio CD,6,2001,1919,,2018/02/27,,,read,,,,1,,,0,,,,,
40271,"Alvin Journeyman (Tales of Alvin Maker, #4)",Orson Scott Card,"Card, Orson Scott",,"=""0312850530""","=""9780312850531""",3,3.74,Tor Books,Hardcover,381,2005,1995,,2018/02/27,,,read,,,,1,,,0,,,,,
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",5,4.48,Scholastic Inc,Hardcover,309,2003,1997,,2018/02/27,,,read,,,,1,,,0,,,,,
33,The Lord of the Rings,J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""""","=""""",4,4.50,Houghton Mifflin Harcourt,Paperback,1216,2005,1955,,2018/02/27,,,read,,,,1,,,0,,,,,
5907,"The Hobbit, or There and Back Again",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""0618260307""","=""9780618260300""",5,4.28,Houghton Mifflin,Paperback,366,2002,1937,,2018/02/27,,,read,,,,1,,,0,,,,,
13881,"Rage of a Demon King (The Serpentwar Saga, #3)",Raymond E. Feist,"Feist, Raymond E.",,"=""0380974738""","=""9780380974733""",3,4.06,Avon Books,Hardcover,436,1997,1997,,2018/02/27,,,read,,,,1,,,0,,,,,
13815,"Servant of the Empire (The Empire Trilogy, #2)",Raymond E. Feist,"Feist, Raymond E.",Janny Wurts,"=""0586203818""","=""9780586203811""",0,4.30,Grafton,Paperback,827,1990,1990,,2018/02/27,to-read,to-read (#5),to-read,,,,1,,,0,,,,,
43908,"Shadow of a Dark Queen (The Serpentwar Saga, #1)",Raymond E. Feist,"Feist, Raymond E.",,"=""0380720868""","=""9780380720866""",3,4.06,Avon Fantasy,Mass Market Paperback,497,1995,1994,,2018/02/27,,,read,,,,1,,,0,,,,,
961430,"Iron Master (Amtrak Wars, #3)",Patrick Tilley,"Tilley, Patrick",Tony     Roberts,"=""0671653385""","=""9780671653385""",5,3.81,Baen Books,Paperback,433,1987,1987,,2018/02/27,,,read,,,,1,,,0,,,,,
961431,"Blood River (Amtrak Wars, #4)",Patrick Tilley,"Tilley, Patrick",,"=""0747400008""","=""9780747400004""",4,3.88,Sphere Books Ltd,Paperback,362,1988,1988,,2018/02/27,,,read,,,,1,,,0,,,,,
744484,"Cloud Warrior (Amtrak Wars, #1)",Patrick Tilley,"Tilley, Patrick",,"=""0751514764""","=""9780751514766""",5,3.91,Warner Books,Mass Market Paperback,311,1995,1983,,2018/02/27,,,read,,,,1,,,0,,,,,
105,Chapterhouse: Dune (Dune #6),Frank Herbert,"Herbert, Frank",,"=""""","=""""",4,3.91,Ace Books,Mass Market Paperback,436,1987,1985,,2018/02/27,,,read,,,,1,,,0,,,,,
1353235,The Philadelphia Experiment,Charles Berlitz,"Berlitz, Charles",William L. Moore,"=""0285629999""","=""9780285629998""",3,3.41,Souvenir Press,Paperback,288,1993,1978,,2018/02/27,,,read,,,,1,,,0,,,,,
1705697,Wastelands: Stories of the Apocalypse (Wastelands #1),John Joseph Adams,"Adams, John Joseph","Cory Doctorow, George R.R. Martin, Carol Emshwiller, Jonathan Lethem, Octavia E. Butler, Stephen King, Gene Wolfe, Orson Scott Card, Paolo Bacigalupi, M. Rickert","=""1597801054""","=""9781597801058""",0,3.77,Night Shade,Paperback,333,2008,2007,,2018/02/27,to-read,to-read (#4),to-read,,,,0,,,0,,,,,
29908186,Bharatiya Kshatra Parampare,Shatavadhani R. Ganesh,"Ganesh, Shatavadhani R.",,"=""8175310715""","=""""",0,4.62,Rashtrotthana Sahitya,Paperback,320,2016,2016,,2017/10/11,to-read,to-read (#3),to-read,,,,0,,,0,,,,,
